Date,XLF_ret1,XOP_ret1,XLK_ret1,,,,,,,,,,,,,,,
12/31/13,FILL IN THE REST OF THE CALCS,,,,,,,,,,,,,,,,,
12/30/14,-0.001198042,-0.013983424,-0.007124336,,,,,,,,,,,,,,,
12/31/14,-0.011195608,-0.001876663,-0.011001917,,,,,,,,,,,,,,,
1/2/15,0,0.010238067,-0.001934759,,,,,,,,,,,,,,,
1/5/15,-0.021026672,-0.064116081,-0.015265523,,,,,,,,,,,,,,,
1/6/15,-0.015282655,-0.030276273,-0.012056734,,,,,,,,,,,,,,,
1/7/15,0.01048615,-0.010027074,0.008468078,,,,,,,,,,,,,,,
1/8/15,0.014943994,0.033839672,0.021980857,,,,,,,,,,,,,,,
1/9/15,-0.013496828,0.007793213,-0.003141724,,,,,,,,,,,,,,,
1/12/15,-0.008291892,-0.047724076,-0.011636369,,,,,,,,,,,,,,,
1/13/15,-0.003344182,-0.005568747,-0.00073567,,,,,,,,,,,,,,,
1/14/15,-0.014262172,0.027298274,-0.005645918,,,,,,,,,,,,,,,
1/15/15,-0.012340251,-0.033613028,-0.012836039,,,,,,,,,,,,,,,
1/16/15,0.012063664,0.04535829,0.009752216,,,,,,,,,,,,,,,
1/20/15,-0.004256921,-0.016861443,0.00842007,,,,,,,,,,,,,,,
1/21/15,0.002564921,0.038417383,0.001719334,,,,,,,,,,,,,,,
1/22/15,0.024733438,0.0002202,0.016425405,,,,,,,,,,,,,,,
1/23/15,-0.010820047,0.002201645,-0.000241332,,,,,,,,,,,,,,,
1/26/15,0.005048578,0.024165278,-0.004101465,,,,,,,,,,,,,,,
1/27/15,-0.010883332,0.019304858,-0.028827049,,,,,,,,,,,,,,,
1/28/15,-0.018197019,-0.056607485,-0.001746577,,,,,,,,,,,,,,,
1/29/15,0.008189943,0.007583568,0.00949554,,,,,,,,,,,,,,,
1/30/15,-0.016246511,0.022360771,-0.012376354,,,,,,,,,,,,,,,
2/2/15,0.016080049,0.058466373,0.010275807,,,,,,,,,,,,,,,
2/3/15,0.016680536,0.050327537,0.011411537,,,,,,,,,,,,,,,
2/4/15,-0.002524289,-0.021231174,0.001962173,,,,,,,,,,,,,,,
2/5/15,0.01012271,0.029452723,0.009302275,,,,,,,,,,,,,,,
2/6/15,0.007933105,0.005026158,-0.003153155,,,,,,,,,,,,,,,
2/9/15,-0.004971136,-0.001346339,-0.001460074,,,,,,,,,,,,,,,
2/10/15,0.007910415,-0.02234206,0.014863972,,,,,,,,,,,,,,,
2/11/15,0,0,0.003841376,,,,,,,,,,,,,,,
2/12/15,0.009913159,0.023443528,0.013633299,,,,,,,,,,,,,,,
2/13/15,-0.000817848,0.026371452,0.006370587,,,,,,,,,,,,,,,
2/17/15,0.003274128,0.011628078,0.000469039,,,,,,,,,,,,,,,
2/18/15,-0.006119623,-0.022246981,0.000937559,,,,,,,,,,,,,,,
2/19/15,-0.004104829,0.00037928,0.00351206,,,,,,,,,,,,,,,
2/20/15,0.007419243,-0.008529201,0.005133178,,,,,,,,,,,,,,,
2/23/15,-0.002455148,-0.009749691,0.000696457,,,,,,,,,,,,,,,
2/24/15,0.004922682,-0.000965109,0.003015229,,,,,,,,,,,,,,,
2/25/15,0,0.018937311,-0.00624417,,,,,,,,,,,,,,,
2/26/15,-0.002449434,-0.022567933,0.006283405,,,,,,,,,,,,,,,
2/27/15,-0.003682361,-0.014163802,-0.003469116,,,,,,,,,,,,,,,
3/2/15,0.007392184,-0.017122769,0.007890807,,,,,,,,,,,,,,,
3/3/15,-0.00285367,0.013015852,-0.006677595,,,,,,,,,,,,,,,
3/4/15,-0.00613237,0.005336983,-0.00394066,,,,,,,,,,,,,,,
3/5/15,0.004114056,-0.010027301,-0.001163577,,,,,,,,,,,,,,,
3/6/15,-0.007374912,-0.02144985,-0.012348431,,,,,,,,,,,,,,,
3/9/15,0.004540217,-0.011974955,0.004718069,,,,,,,,,,,,,,,
3/10/15,-0.021363755,-0.024856507,-0.020427629,,,,,,,,,,,,,,,
3/11/15,0.006296394,0.016010507,-0.006471559,,,,,,,,,,,,,,,
3/12/15,0.021694089,-0.009123161,0.006513713,,,,,,,,,,,,,,,
3/13/15,-0.006941551,-0.001255422,-0.005512678,,,,,,,,,,,,,,,
3/16/15,0.012335526,-0.002723686,0.011809917,,,,,,,,,,,,,,,
3/17/15,-0.002437198,-0.012184638,0.000238155,,,,,,,,,,,,,,,
3/18/15,0.005701207,0.048489664,0.013575071,,,,,,,,,,,,,,,
3/19/15,-0.009312366,-0.026977309,-0.00281992,,,,,,,,,,,,,,,
3/20/15,0.013577522,0.007863538,0.006459358,,,,,,,,,,,,,,,
3/23/15,-0.005665882,-0.012243442,0,,,,,,,,,,,,,,,
3/24/15,-0.008139993,0.010084175,-0.003291115,,,,,,,,,,,,,,,
3/25/15,-0.016003471,0.020798506,-0.025707682,,,,,,,,,,,,,,,
3/26/15,-0.000833582,0.014058964,0.000726239,,,,,,,,,,,,,,,
3/27/15,-0.001252453,-0.02310633,0.000725685,,,,,,,,,,,,,,,
3/30/15,0.014626165,0.018305141,0.012086156,,,,,,,,,,,,,,,
3/31/15,-0.007001751,0.043425728,-0.010270083,,,,,,,,,,,,,,,
4/1/15,-0.000829208,-0.028842883,-0.001447787,,,,,,,,,,,,,,,
4/2/15,0.004980896,0.012756928,-0.000241652,,,,,,,,,,,,,,,
4/6/15,0.001652231,0.03404855,0.009668644,,,,,,,,,,,,,,,
4/7/15,-0.005360486,0.0045678,-0.00215435,,,,,,,,,,,,,,,
4/8/15,0.003730981,-0.029177639,0.003118787,,,,,,,,,,,,,,,
4/9/15,0.001652231,0.01834495,0.002630649,,,,,,,,,,,,,,,
4/10/15,-0.000412392,0.004216357,0.003817219,,,,,,,,,,,,,,,
